sku,nombre,precio,precio_promocional,costo,stock,categoria,marca,codigo_barras,mpn,descripcion,imagen_url,slug,tags,seo_titulo,seo_descripcion,peso_kg,alto_cm,ancho_cm,profundidad_cm,ubicacion,proveedor,activo,envio_gratis,detalles
AUD-AIR-GEN4,Apple AirPods 4 (3ra gen estilo nuevo),550,,,180,Electrónica,,,,,https://arqoyuxcugpprzjpcytg.supabase.co/storage/v1/object/public/productos/solicitudes/1783612507602-AUD-AIR-GEN4.webp,,,,,,,,,,,SI,NO,
OL-DUR-DUL-0001,Durazno prensado de 1 kg,255,,139,12,Dulces tipicos y alimentos,El Huerto,,OL-DUR-DUL-0001,Durazno prensado artesanal en presentacion de 1 kilogramo.,,,,,,,,,,UCAREO,El Huerto,SI,NO,
PG130726,Pelota Inflable Gigante,3500,2990,1800,8,Papel Picado > Pelota Inflable Gigante,pvc,,PG130726,"<p>------Detalles de Producto------ El Paquete Incluye: Pelota de playa de 60 cm * 1(Dimensiones del bal&oacute;n al inflarse). El Color: f&uacute;tbol EI Material: PVC ------Por qu&eacute; nos merecemos su confianza------ MATERIAL PREMIUM: Esta pelota de playa est&aacute; dise&ntilde;ada con PVC.</p>",,,,,,0,0,0,0,,,SI,NO,
