No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0011,OL-DUR-DUL-0011,OL-DUR-DUL-0011,DURAZNO PRENSADO C/ CHAMOY DE 500GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 88 , $ 16.80 , $ 105.00 ,45.00%, $ 47.25 ,, $ 5.55 , $ 0.89 , $ 5.77 , $ 12.21 ,3.71%,$164,,$22.68,$142,$54,,,,,,,,,OL,DUR,DUL,-,0011,,0,0,,11
0012,OL-DUR-DUL-0012,OL-DUR-DUL-0012,DURAZNO PRENSADO C/CHAMOY DE 150 GR BOLSA ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 34 , $ 6.40 , $ 40.00 ,45.00%, $ 18.00 ,, $ 3.66 , $ 0.59 , $ 3.84 , $ 8.09 ,6.12%,$66,,$9.12,$57,$23,,,,,,,,,OL,DUR,DUL,-,0012,,0,0,,12
0013,OL-MIX-DUL-0013,OL-MIX-DUL-0013,MIX CHAMOY 150gr,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 34 , $ 6.40 , $ 40.00 ,45.00%, $ 18.00 ,, $ 3.66 , $ 0.59 , $ 3.84 , $ 8.09 ,6.12%,$66,,$9.12,$57,$23,,,,,,,,,OL,MIX,DUL,-,0013,,0,0,,13
,,,Manzana Prensada con chamoy 150gr,,,,,,, $ 34 , $ 6.40 , $ 40.00 ,45.00%, $ 18.00 ,, $ 3.66 , $ 0.59 , $ 3.84 , $ 8.09 ,6.12%,$66,,$9.12,$57,$23,,,,,,,,,,,,,,,,,,
,,,Manzana Prensada con chamoy 500gr,,,,,,, $ 29 , $ 5.60 , $ 35.00 ,45.00%, $ 15.75 ,, $ 3.52 , $ 0.56 , $ 3.70 , $ 7.77 ,6.64%,$59,,$8.07,$50,$21,,,,,,,,,,,,,,,,,,
,,,Pera Prensada con chamoy de 500 gr,,,,,,, $ 84 , $ 16.00 , $ 100.00 ,45.00%, $ 45.00 ,, $ 5.40 , $ 0.86 , $ 5.63 , $ 11.89 ,3.79%,$157,,$21.64,$135,$51,,,,,,,,,,,,,,,,,,
0014,OL-PER-DUL-0014,OL-PER-DUL-0014,PERA PRENSADA CON CHAMOY DE 150GR BOLSA,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 29 , $ 5.60 , $ 35.00 ,45.00%, $ 15.75 ,, $ 3.52 , $ 0.56 , $ 3.70 , $ 7.77 ,6.64%,$59,,$8.07,$50,$21,,,,,,,,,OL,PER,DUL,-,0014,,0,0,,14
0015,OL-DUR-DUL-0015,OL-DUR-DUL-0015,DURAZNO PRENSADO CON CHILE DE 150 GRS,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,DUR,DUL,-,0015,,0,0,,15
0016,OL-PER-DUL-0016,OL-PER-DUL-0016,PERA PRENSADA CON CHILE DE 150 GRS ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,PER,DUL,-,0016,,0,0,,16
0017,OL-MIX-DUL-0017,OL-MIX-DUL-0017,MIX FRUTA PRENSADA CHILE DE 150 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 29 , $ 5.60 , $ 35.00 ,0.00%, $ -   ,, $ 3.52 , $ 0.56 , $ 3.38 , $ 7.46 ,8.78%,$42,,$5.86,$37,$7,,,,,,,,,OL,MIX,DUL,-,0017,,0,0,,17
