No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0229, JOYERO MI, CJMPB1, JOYERO MINI PLANO (3x4) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 438 107 2674,VERONICA , $ 142.24 , $ 22.76 , $ 165.00,35.00%, $ 57.75 ,, $ 7.29 , $ 1.17 , $ 7.22 , $ 15.67 ,3.29%,$238,,$32.89,$206,$63,,,,,,,,,,,,,,,,,,
0230, JUEGO DE , CJAGB1, JUEGO DE AGUA (7 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 439 107 2674,VERONICA ," $ 3,064.66 ", $ 490.34 ," $ 3,555.00",35.00%," $ 1,244.25 ",, $ 105.60 , $ 16.90 , $ 101.03 , $ 223.53 ,2.23%,"$5,023",,$692.80,"$4,330","$1,265",,,,,,,,,,,,,,,,,,
0231, JUEGO DE , CJADB1, JUEGO DE AGUA DONA (7 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 440 107 2674,VERONICA ," $ 4,219.83 ", $ 675.17 ," $ 4,895.00",35.00%," $ 1,713.25 ",, $ 144.46 , $ 23.11 , $ 138.12 , $ 305.68 ,2.21%,"$6,914",,$953.65,"$5,960","$1,740",,,,,,,,,,,,,,,,,,
0232, JUEGO DE , CJCAB1, JUEGO DE CAFE AMERICANO (15 PIEZAS),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 441 107 2674,VERONICA ," $ 4,939.66 ", $ 790.34 ," $ 5,730.00",35.00%," $ 2,005.50 ",, $ 168.67 , $ 26.99 , $ 161.22 , $ 356.88 ,2.21%,"$8,092",,"$1,116.19","$6,976","$2,037",,,,,,,,,,,,,,,,,,
0233, JUEGO DE , CJCEB1, JUEGO DE CAFE EXPRESS (15 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 442 107 2674,VERONICA ," $ 3,224.14 ", $ 515.86 ," $ 3,740.00",35.00%," $ 1,309.00 ",, $ 110.96 , $ 17.75 , $ 106.15 , $ 234.87 ,2.22%,"$5,284",,$728.81,"$4,555","$1,331",,,,,,,,,,,,,,,,,,
0234, JUEGO DE , CJESA1, JUEGO DE ESCRITORIO (3 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 443 107 2674,VERONICA , $ 646.55 , $ 103.45 , $ 750.00,35.00%, $ 262.50 ,, $ 24.25 , $ 3.88 , $ 23.41 , $ 51.54 ,2.42%,"$1,064",,$146.76,$917,$271,,,,,,,,,,,,,,,,,,
0235, JUEGO DE , CJTCB1, JUEGO DE TE CHICO (5 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 444 107 2674,VERONICA ," $ 1,448.28 ", $ 231.72 ," $ 1,680.00",35.00%, $ 588.00 ,, $ 51.22 , $ 8.20 , $ 49.15 , $ 108.56 ,2.28%,"$2,377",,$327.80,"$2,049",$600,,,,,,,,,,,,,,,,,,
0236, JUEGO DE , CJTGB1, JUEGO DE TE GRANDE (7 PIEZAS),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 445 107 2674,VERONICA ," $ 2,702.59 ", $ 432.41 ," $ 3,135.00",35.00%," $ 1,097.25 ",, $ 93.42 , $ 14.95 , $ 89.41 , $ 197.77 ,2.23%,"$4,430",,$611.04,"$3,819","$1,116",,,,,,,,,,,,,,,,,,
0237, JUEGO SAL, CJSCA1, JUEGO SAL/PIMIENTA CUADRADO (2 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 446 107 2674,VERONICA , $ 327.59 , $ 52.41 , $ 380.00,35.00%, $ 133.00 ,, $ 13.52 , $ 2.16 , $ 13.17 , $ 28.86 ,2.66%,$542,,$74.74,$467,$140,,,,,,,,,,,,,,,,,,
0238, JUEGO TEQ, CJTEA1, JUEGO TEQUILERO (4 PIEZAS) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 447 107 2674,VERONICA , $ 681.03 , $ 108.97 , $ 790.00,35.00%, $ 276.50 ,, $ 25.41 , $ 4.07 , $ 24.52 , $ 54.00 ,2.41%,"$1,120",,$154.55,$966,$285,,,,,,,,,,,,,,,,,,
0239, LAMPARA #, CLAMC1, LAMPARA # 6 (25) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 448 107 2674,VERONICA , $ 887.93 , $ 142.07 ," $ 1,030.00",35.00%, $ 360.50 ,, $ 32.37 , $ 5.18 , $ 31.16 , $ 68.71 ,2.35%,"$1,459",,$201.27,"$1,258",$370,,,,,,,,,,,,,,,,,,
0240, LAMPARA #, CLAMB1, LAMPARA # 7 (28) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 449 107 2674,VERONICA ," $ 1,323.28 ", $ 211.72 ," $ 1,535.00",35.00%, $ 537.25 ,, $ 47.02 , $ 7.52 , $ 45.14 , $ 99.67 ,2.29%,"$2,172",,$299.58,"$1,872",$549,,,,,,,,,,,,,,,,,,
0241, LAMPARA #, CLAMD1, LAMPARA # 8 (33.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 450 107 2674,VERONICA ," $ 1,987.07 ", $ 317.93 ," $ 2,305.00",35.00%, $ 806.75 ,, $ 69.35 , $ 11.10 , $ 66.44 , $ 146.88 ,2.25%,"$3,259",,$449.47,"$2,809",$822,,,,,,,,,,,,,,,,,,
0242, LAMPARA B, CLBMA1, LAMPARA BOLA MEDIANA (22x12.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 451 107 2674,VERONICA , $ 918.10 , $ 146.90 ," $ 1,065.00",35.00%, $ 372.75 ,, $ 33.39 , $ 5.34 , $ 32.13 , $ 70.86 ,2.35%,"$1,509",,$208.08,"$1,301",$382,,,,,,,,,,,,,,,,,,
0243, LAMPARA C, CLCCA1, LAMPARA CILINDRICA (58x30) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 452 107 2674,VERONICA ," $ 2,021.55 ", $ 323.45 ," $ 2,345.00",35.00%, $ 820.75 ,, $ 70.51 , $ 11.28 , $ 67.55 , $ 149.34 ,2.25%,"$3,315",,$457.25,"$2,858",$836,,,,,,,,,,,,,,,,,,
0244, LICORERA , CLBCB1, LICORERA BOLA CHICA (22.5x11) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 453 107 2674,VERONICA , $ 646.55 , $ 103.45 , $ 750.00,35.00%, $ 262.50 ,, $ 24.25 , $ 3.88 , $ 23.41 , $ 51.54 ,2.42%,"$1,064",,$146.76,$917,$271,,,,,,,,,,,,,,,,,,
0245, LICORERA , CLBGB1, LICORERA BOLA GRANDE (25x12.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 454 107 2674,VERONICA ," $ 1,189.66 ", $ 190.34 ," $ 1,380.00",35.00%, $ 483.00 ,, $ 42.52 , $ 6.80 , $ 40.85 , $ 90.17 ,2.31%,"$1,953",,$269.40,"$1,684",$494,,,,,,,,,,,,,,,,,,
0246, LICORERA , CLCUA1, LICORERA CUADRADA (18x15),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 455 107 2674,VERONICA ," $ 1,189.66 ", $ 190.34 ," $ 1,380.00",35.00%, $ 483.00 ,, $ 42.52 , $ 6.80 , $ 40.85 , $ 90.17 ,2.31%,"$1,953",,$269.40,"$1,684",$494,,,,,,,,,,,,,,,,,,
0247, LICORERA , CLDCA1, LICORERA DONA CERRADA CHICA (17x15) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 456 107 2674,VERONICA , $ 698.28 , $ 111.72 , $ 810.00,35.00%, $ 283.50 ,, $ 25.99 , $ 4.16 , $ 25.07 , $ 55.22 ,2.40%,"$1,149",,$158.44,$990,$292,,,,,,,,,,,,,,,,,,
0248, LICORERA , CLDCB1, LICORERA DONA CERRADA GRANDE (22x6x20),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 457 107 2674,VERONICA ," $ 1,232.76 ", $ 197.24 ," $ 1,430.00",35.00%, $ 500.50 ,, $ 43.97 , $ 7.04 , $ 42.23 , $ 93.24 ,2.30%,"$2,024",,$279.14,"$1,745",$512,,,,,,,,,,,,,,,,,,
0249, LICORERA , CLDCC1, LICORERA DONA CHICA (9x8.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 423 107 2674,VERONICA , $ 262.93 , $ 42.07 , $ 305.00,35.00%, $ 106.75 ,, $ 11.35 , $ 1.82 , $ 11.10 , $ 24.26 ,2.78%,$436,,$60.14,$376,$113,,,,,,,,,,,,,,,,,,
0250, LICORERA , CLDMA1, LICORERA DONA MEDIANA (14.5x14.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 424 107 2674,VERONICA , $ 853.45 , $ 136.55 , $ 990.00,35.00%, $ 346.50 ,, $ 31.21 , $ 4.99 , $ 30.05 , $ 66.26 ,2.36%,"$1,403",,$193.48,"$1,209",$356,,,,,,,,,,,,,,,,,,
0251, LICORERA , CLDGA1, LICORERA DONA GRANDE (22x22) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 425 107 2674,VERONICA ," $ 1,366.38 ", $ 218.62 ," $ 1,585.00",35.00%, $ 554.75 ,, $ 48.47 , $ 7.75 , $ 46.52 , $ 102.74 ,2.29%,"$2,242",,$309.31,"$1,933",$567,,,,,,,,,,,,,,,,,,
0252, LICORERA , CLDMB1, LICORERA DONA MINI (6x6),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 426 107 2674,VERONICA , $ 185.34 , $ 29.66 , $ 215.00,35.00%, $ 75.25 ,, $ 8.74 , $ 1.40 , $ 8.61 , $ 18.74 ,3.03%,$309,,$42.62,$266,$81,,,,,,,,,,,,,,,,,,
0253, LICORERA , CLLCA1, LICORERA LUNA CHICA (16x6x16.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 427 107 2674,VERONICA , $ 698.28 , $ 111.72 , $ 810.00,35.00%, $ 283.50 ,, $ 25.99 , $ 4.16 , $ 25.07 , $ 55.22 ,2.40%,"$1,149",,$158.44,$990,$292,,,,,,,,,,,,,,,,,,
0254, LICORERA , CLLGA1, LICORERA LUNA GRANDE (20x8x21) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 428 107 2674,VERONICA ," $ 1,159.48 ", $ 185.52 ," $ 1,345.00",35.00%, $ 470.75 ,, $ 41.51 , $ 6.64 , $ 39.88 , $ 88.02 ,2.31%,"$1,904",,$262.59,"$1,641",$482,,,,,,,,,,,,,,,,,,
0255, LICORERA , CLMMA1, LICORERA MINI 50 ML. (7.5x3x7) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 429 107 2674,VERONICA , $ 185.34 , $ 29.66 , $ 215.00,35.00%, $ 75.25 ,, $ 8.74 , $ 1.40 , $ 8.61 , $ 18.74 ,3.03%,$309,,$42.62,$266,$81,,,,,,,,,,,,,,,,,,
0256, LICORERA , CLACA1, LICORERA REDONDA CHICA CON ASAS (17.5x16.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 430 107 2674,VERONICA ," $ 1,068.97 ", $ 171.03 ," $ 1,240.00",35.00%, $ 434.00 ,, $ 38.46 , $ 6.15 , $ 36.97 , $ 81.59 ,2.32%,"$1,756",,$242.15,"$1,513",$444,,,,,,,,,,,,,,,,,,
0257, LICORERA , CLTCA1, LICORERA TRIANGULAR CHICA (19.5x19.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 431 107 2674,VERONICA ," $ 1,189.66 ", $ 190.34 ," $ 1,380.00",35.00%, $ 483.00 ,, $ 42.52 , $ 6.80 , $ 40.85 , $ 90.17 ,2.31%,"$1,953",,$269.40,"$1,684",$494,,,,,,,,,,,,,,,,,,
0258, MACETA # , CMACB1, MACETA # 10 (25x27),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 432 107 2674,VERONICA ," $ 2,883.62 ", $ 461.38 ," $ 3,345.00",35.00%," $ 1,170.75 ",, $ 99.51 , $ 15.92 , $ 95.22 , $ 210.65 ,2.23%,"$4,726",,$651.92,"$4,074","$1,191",,,,,,,,,,,,,,,,,,
0259, MACETA # , CMACE1, MACETA # 4 (10x8.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 433 107 2674,VERONICA , $ 284.48 , $ 45.52 , $ 330.00,35.00%, $ 115.50 ,, $ 12.07 , $ 1.93 , $ 11.79 , $ 25.79 ,2.74%,$471,,$65.01,$406,$122,,,,,,,,,,,,,,,,,,
0260, MACETA # , CMACF1, MACETA # 6 (15.5x16.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 434 107 2674,VERONICA , $ 969.83 , $ 155.17 ," $ 1,125.00",35.00%, $ 393.75 ,, $ 35.13 , $ 5.62 , $ 33.79 , $ 74.53 ,2.34%,"$1,593",,$219.76,"$1,374",$404,,,,,,,,,,,,,,,,,,
0261, MACETA # , CMACG1, MACETA # 7 (18.5x19.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 435 107 2674,VERONICA ," $ 1,232.76 ", $ 197.24 ," $ 1,430.00",35.00%, $ 500.50 ,, $ 43.97 , $ 7.04 , $ 42.23 , $ 93.24 ,2.30%,"$2,024",,$279.14,"$1,745",$512,,,,,,,,,,,,,,,,,,
0262, MACETA CU, CMCCA1, MACETA CUADRADA CHICA (12x7.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 436 107 2674,VERONICA , $ 306.03 , $ 48.97 , $ 355.00,35.00%, $ 124.25 ,, $ 12.80 , $ 2.05 , $ 12.48 , $ 27.32 ,2.70%,$507,,$69.87,$437,$131,,,,,,,,,,,,,,,,,,
0263, MACETA CU, CMCGA1, MACETA CUADRADA GRANDE (21x14.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 437 107 2674,VERONICA ," $ 1,280.17 ", $ 204.83 ," $ 1,485.00",35.00%, $ 519.75 ,, $ 45.57 , $ 7.29 , $ 43.75 , $ 96.61 ,2.30%,"$2,101",,$289.84,"$1,812",$531,,,,,,,,,,,,,,,,,,
0264, MACETA CU, CMCMA1, MACETA CUADRADA MEDIANA (11.5x14.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 438 107 2674,VERONICA , $ 663.79 , $ 106.21 , $ 770.00,35.00%, $ 269.50 ,, $ 24.83 , $ 3.97 , $ 23.97 , $ 52.77 ,2.42%,"$1,092",,$150.66,$942,$278,,,,,,,,,,,,,,,,,,
0265, MACETA VI, CMVIA1, MACETA VIOLETERA (11x12.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 439 107 2674,VERONICA , $ 556.03 , $ 88.97 , $ 645.00,35.00%, $ 225.75 ,, $ 21.21 , $ 3.39 , $ 20.51 , $ 45.10 ,2.46%,$916,,$126.32,$790,$233,,,,,,,,,,,,,,,,,,
0266, MANTEQUIL, CMTQA1, MANTEQUILLERA RECTANGULAR (17.5x7x6) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 440 107 2674,VERONICA , $ 306.03 , $ 48.97 , $ 355.00,35.00%, $ 124.25 ,, $ 12.80 , $ 2.05 , $ 12.48 , $ 27.32 ,2.70%,$507,,$69.87,$437,$131,,,,,,,,,,,,,,,,,,
0267, MIELERA (, CMIEA1, MIELERA (13.5x9.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 441 107 2674,VERONICA , $ 448.28 , $ 71.72 , $ 520.00,35.00%, $ 182.00 ,, $ 17.58 , $ 2.81 , $ 17.05 , $ 37.44 ,2.53%,$739,,$101.99,$637,$189,,,,,,,,,,,,,,,,,,
0268, MOLCAJETE, CMSGA1, MOLCAJETE SANTA MARIA GRANDE (11.5x18.5) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 442 107 2674,VERONICA , $ 788.79 , $ 126.21 , $ 915.00,35.00%, $ 320.25 ,, $ 29.04 , $ 4.65 , $ 27.98 , $ 61.66 ,2.38%,"$1,297",,$178.88,"$1,118",$329,,,,,,,,,,,,,,,,,,
0269, MOLCAJETE, CMSCA1, MOLCAJETE SANTA MARIA CHICO (6x11) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 443 107 2674,VERONICA , $ 318.97 , $ 51.03 , $ 370.00,35.00%, $ 129.50 ,, $ 13.23 , $ 2.12 , $ 12.90 , $ 28.24 ,2.68%,$528,,$72.79,$455,$136,,,,,,,,,,,,,,,,,,
0270, MOLCAJETE, CMSMA1, MOLCAJETE SANTA MARIA MEDIANO (10.5x16.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 444 107 2674,VERONICA , $ 633.62 , $ 101.38 , $ 735.00,35.00%, $ 257.25 ,, $ 23.82 , $ 3.81 , $ 23.00 , $ 50.62 ,2.43%,"$1,043",,$143.84,$899,$265,,,,,,,,,,,,,,,,,,
0271, PAYASO BO, CPBOA1, PAYASO BOLITAS (30x9) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 445 107 2674,VERONICA , $ 818.97 , $ 131.03 , $ 950.00,35.00%, $ 332.50 ,, $ 30.05 , $ 4.81 , $ 28.95 , $ 63.81 ,2.37%,"$1,346",,$185.70,"$1,161",$342,,,,,,,,,,,,,,,,,,
0272, PAYASO BO, CPBLA1, PAYASO BOLITAS LARGO (50x8) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 446 107 2674,VERONICA , $ 952.59 , $ 152.41 ," $ 1,105.00",35.00%, $ 386.75 ,, $ 34.55 , $ 5.53 , $ 33.24 , $ 73.31 ,2.34%,"$1,565",,$215.87,"$1,349",$397,,,,,,,,,,,,,,,,,,
0273, PAYASO GO, CPGOA1, PAYASO GORDO (17x17),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 447 107 2674,VERONICA , $ 788.79 , $ 126.21 , $ 915.00,35.00%, $ 320.25 ,, $ 29.04 , $ 4.65 , $ 27.98 , $ 61.66 ,2.38%,"$1,297",,$178.88,"$1,118",$329,,,,,,,,,,,,,,,,,,
0274, PAYASO KI, CPKIA1, PAYASO KIM (25.5x8) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 448 107 2674,VERONICA , $ 788.79 , $ 126.21 , $ 915.00,35.00%, $ 320.25 ,, $ 29.04 , $ 4.65 , $ 27.98 , $ 61.66 ,2.38%,"$1,297",,$178.88,"$1,118",$329,,,,,,,,,,,,,,,,,,
0275, PAYASO SH, CPSHA1, PAYASO SHORT (23.5x8) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 449 107 2674,VERONICA , $ 788.79 , $ 126.21 , $ 915.00,35.00%, $ 320.25 ,, $ 29.04 , $ 4.65 , $ 27.98 , $ 61.66 ,2.38%,"$1,297",,$178.88,"$1,118",$329,,,,,,,,,,,,,,,,,,
0276, PIMIENTER, CPCHA1, PIMIENTERO CHICO (3.5x3),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 450 107 2674,VERONICA , $ 129.31 , $ 20.69 , $ 150.00,35.00%, $ 52.50 ,, $ 6.85 , $ 1.10 , $ 6.81 , $ 14.75 ,3.40%,$217,,$29.97,$187,$58,,,,,,,,,,,,,,,,,,
0277, PIMIENTER, CPCUA1, PIMIENTERO CUADRADO (8x3) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 451 107 2674,VERONICA , $ 163.79 , $ 26.21 , $ 190.00,35.00%, $ 66.50 ,, $ 8.01 , $ 1.28 , $ 7.92 , $ 17.21 ,3.14%,$274,,$37.75,$236,$72,,,,,,,,,,,,,,,,,,
0278, PIMIENTER, CPGRA1, PIMIENTERO GRANDE (6.5x4.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 452 107 2674,VERONICA , $ 142.24 , $ 22.76 , $ 165.00,35.00%, $ 57.75 ,, $ 7.29 , $ 1.17 , $ 7.22 , $ 15.67 ,3.29%,$238,,$32.89,$206,$63,,,,,,,,,,,,,,,,,,
0279, PLATO BAS, CPBAA1, PLATO BASE (28),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 453 107 2674,VERONICA , $ 862.07 , $ 137.93 ," $ 1,000.00",35.00%, $ 350.00 ,, $ 31.50 , $ 5.04 , $ 30.33 , $ 66.87 ,2.36%,"$1,417",,$195.43,"$1,221",$359,,,,,,,,,,,,,,,,,,
0280, PLATO CON, CPSOA1, PLATO CONSOME (6x12.5),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 454 107 2674,VERONICA , $ 392.24 , $ 62.76 , $ 455.00,35.00%, $ 159.25 ,, $ 15.70 , $ 2.51 , $ 15.25 , $ 33.46 ,2.58%,$648,,$89.34,$558,$166,,,,,,,,,,,,,,,,,,
0281, PLATO PAN, CPPAA1, PLATO PAN (20),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 455 107 2674,VERONICA , $ 556.03 , $ 88.97 , $ 645.00,35.00%, $ 225.75 ,, $ 21.21 , $ 3.39 , $ 20.51 , $ 45.10 ,2.46%,$916,,$126.32,$790,$233,,,,,,,,,,,,,,,,,,
0282, PLATO PAR, CPPCA1, PLATO PARA COLGAR (10),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 456 107 2674,VERONICA , $ 198.28 , $ 31.72 , $ 230.00,35.00%, $ 80.50 ,, $ 9.17 , $ 1.47 , $ 9.02 , $ 19.66 ,2.98%,$330,,$45.54,$285,$86,,,,,,,,,,,,,,,,,,
0283,PLATO PARA,CPPCC1 ,PLATO PARA COLGAR (15) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 457 107 2674,VERONICA , $ 318.97 , $ 51.03 , $ 370.00,35.00%, $ 129.50 ,, $ 13.23 , $ 2.12 , $ 12.90 , $ 28.24 ,2.68%,$528,,$72.79,$455,$136,,,,,,,,,,,,,,,,,,
0284, PLATO PAR, CPPCD1, PLATO PARA COLGAR (17),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 423 107 2674,VERONICA , $ 469.83 , $ 75.17 , $ 545.00,35.00%, $ 190.75 ,, $ 18.31 , $ 2.93 , $ 17.74 , $ 38.97 ,2.52%,$775,,$106.86,$668,$198,,,,,,,,,,,,,,,,,,
0285, PLATO PAR, CPPCE1, PLATO PARA COLGAR (20),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 424 107 2674,VERONICA , $ 681.03 , $ 108.97 , $ 790.00,35.00%, $ 276.50 ,, $ 25.41 , $ 4.07 , $ 24.52 , $ 54.00 ,2.41%,"$1,120",,$154.55,$966,$285,,,,,,,,,,,,,,,,,,
0286, PLATO PAR, CPPCF1, PLATO PARA COLGAR (24),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 425 107 2674,VERONICA , $ 806.03 , $ 128.97 , $ 935.00,35.00%, $ 327.25 ,, $ 29.62 , $ 4.74 , $ 28.53 , $ 62.89 ,2.37%,"$1,325",,$182.78,"$1,142",$336,,,,,,,,,,,,,,,,,,
0287, PLATO PAR, CPPCG1, PLATO PARA COLGAR (28),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 426 107 2674,VERONICA ," $ 1,025.86 ", $ 164.14 ," $ 1,190.00",35.00%, $ 416.50 ,, $ 37.01 , $ 5.92 , $ 35.59 , $ 78.52 ,2.33%,"$1,685",,$232.42,"$1,453",$427,,,,,,,,,,,,,,,,,,
0288, PLATO PAS, CPPAB1, PLATO PASTEL (17),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 427 107 2674,VERONICA , $ 405.17 , $ 64.83 , $ 470.00,35.00%, $ 164.50 ,, $ 16.13 , $ 2.58 , $ 15.66 , $ 34.38 ,2.57%,$669,,$92.26,$577,$171,,,,,,,,,,,,,,,,,,
0289, PLATO POS, CPPOA1, PLATO POSTRE (14),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 428 107 2674,VERONICA , $ 271.55 , $ 43.45 , $ 315.00,35.00%, $ 110.25 ,, $ 11.64 , $ 1.86 , $ 11.37 , $ 24.87 ,2.76%,$450,,$62.09,$388,$116,,,,,,,,,,,,,,,,,,
0290, PLATO SOP, CPSOB1, PLATO SOPA (5.5x17),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 429 107 2674,VERONICA , $ 732.76 , $ 117.24 , $ 850.00,35.00%, $ 297.50 ,, $ 27.15 , $ 4.34 , $ 26.18 , $ 57.67 ,2.39%,"$1,205",,$166.23,"$1,039",$306,,,,,,,,,,,,,,,,,,
0291, PLATO TRI, CPTRA1, PLATO TRINCHE (24) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 430 107 2674,VERONICA , $ 681.03 , $ 108.97 , $ 790.00,35.00%, $ 276.50 ,, $ 25.41 , $ 4.07 , $ 24.52 , $ 54.00 ,2.41%,"$1,120",,$154.55,$966,$285,,,,,,,,,,,,,,,,,,
0292, PLATON OV, CPOCA1, PLATON OVAL CHICO (24x32) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 431 107 2674,VERONICA ," $ 1,232.76 ", $ 197.24 ," $ 1,430.00",35.00%, $ 500.50 ,, $ 43.97 , $ 7.04 , $ 42.23 , $ 93.24 ,2.30%,"$2,024",,$279.14,"$1,745",$512,,,,,,,,,,,,,,,,,,
0293, PLATON OV, CPOGA1, PLATON OVAL GRANDE HONDO (28x40) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 432 107 2674,VERONICA ," $ 1,487.07 ", $ 237.93 ," $ 1,725.00",35.00%, $ 603.75 ,, $ 52.53 , $ 8.40 , $ 50.39 , $ 111.32 ,2.28%,"$2,440",,$336.56,"$2,104",$616,,,,,,,,,,,,,,,,,,
0294, POLKA CHI, CPCHB1, POLKA CHICA (21x12) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 433 107 2674,VERONICA ," $ 1,103.45 ", $ 176.55 ," $ 1,280.00",35.00%, $ 448.00 ,, $ 39.62 , $ 6.34 , $ 38.08 , $ 84.04 ,2.32%,"$1,812",,$249.94,"$1,562",$459,,,,,,,,,,,,,,,,,,
0295, PORTA CUC, CPCGA1, PORTA CUCHARA GOTA (14x9.3),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 434 107 2674,VERONICA , $ 284.48 , $ 45.52 , $ 330.00,35.00%, $ 115.50 ,, $ 12.07 , $ 1.93 , $ 11.79 , $ 25.79 ,2.74%,$471,,$65.01,$406,$122,,,,,,,,,,,,,,,,,,
0296, PORTA CUC, CPCGB1, PORTA CUCHARA GRANDE (25x9),,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 435 107 2674,VERONICA , $ 409.48 , $ 65.52 , $ 475.00,35.00%, $ 166.25 ,, $ 16.28 , $ 2.60 , $ 15.80 , $ 34.68 ,2.57%,$676,,$93.23,$583,$173,,,,,,,,,,,,,,,,,,
0297, PORTACAND, CPCAA1, PORTACANDEREL (6.5x11.5x8) ,,ARTESANIAS ,SERVIN ,TARANDACUAU GTO , 436 107 2674,VERONICA , $ 271.55 , $ 43.45 , $ 315.00,35.00%, $ 110.25 ,, $ 11.64 , $ 1.86 , $ 11.37 , $ 24.87 ,2.76%,$450,,$62.09,$388,$116,,,,,,,,,,,,,,,,,,
