sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,detalles
SINCODIGO-0011,Charola Redonda de 600gr surtida de prensado,157,84,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0012,Charola 2 divisiones de 200 gr de prensado,74,38,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":45,""iva_compra"":7.2,""porcentaje_a_ganar"":45,""utilidad"":20.25,""openpay_comision"":3.81,""openpay_iva"":0.61,""comision_tienda_nube"":3.99,""total_comisiones"":8.41,""descuento_pago_transferencia_pct"":5.71,""iva_venta_desglosar"":10.16,""precio_venta_sin_iva"":63,""ganancia_real"":26,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0013,Charola cuadrada de 500gr 4 divisiones surtido,157,84,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0010,DURAZNO PRENSADO CON CHAMOY DE 1KG,263,143,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0010,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0010"",""precio_compra_con_iva"":170,""iva_compra"":27.2,""porcentaje_a_ganar"":45,""utilidad"":76.5,""openpay_comision"":7.43,""openpay_iva"":1.19,""comision_tienda_nube"":7.7,""total_comisiones"":16.32,""descuento_pago_transferencia_pct"":3.1,""iva_venta_desglosar"":36.25,""precio_venta_sin_iva"":227,""ganancia_real"":84,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0011,DURAZNO PRENSADO C/ CHAMOY DE 500GR,164,88,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0011,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0011"",""precio_compra_con_iva"":105,""iva_compra"":16.8,""porcentaje_a_ganar"":45,""utilidad"":47.25,""openpay_comision"":5.55,""openpay_iva"":0.89,""comision_tienda_nube"":5.77,""total_comisiones"":12.21,""descuento_pago_transferencia_pct"":3.71,""iva_venta_desglosar"":22.68,""precio_venta_sin_iva"":142,""ganancia_real"":54,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0012,DURAZNO PRENSADO C/CHAMOY DE 150 GR BOLSA,66,34,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0012,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0012"",""precio_compra_con_iva"":40,""iva_compra"":6.4,""porcentaje_a_ganar"":45,""utilidad"":18,""openpay_comision"":3.66,""openpay_iva"":0.59,""comision_tienda_nube"":3.84,""total_comisiones"":8.09,""descuento_pago_transferencia_pct"":6.12,""iva_venta_desglosar"":9.12,""precio_venta_sin_iva"":57,""ganancia_real"":23,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-MIX-DUL-0013,MIX CHAMOY 150gr,66,34,DULCES TIPICOS Y ALIMENTOS,OL-MIX-DUL-0013,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0013"",""precio_compra_con_iva"":40,""iva_compra"":6.4,""porcentaje_a_ganar"":45,""utilidad"":18,""openpay_comision"":3.66,""openpay_iva"":0.59,""comision_tienda_nube"":3.84,""total_comisiones"":8.09,""descuento_pago_transferencia_pct"":6.12,""iva_venta_desglosar"":9.12,""precio_venta_sin_iva"":57,""ganancia_real"":23,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0018,Manzana Prensada con chamoy 150gr,66,34,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":40,""iva_compra"":6.4,""porcentaje_a_ganar"":45,""utilidad"":18,""openpay_comision"":3.66,""openpay_iva"":0.59,""comision_tienda_nube"":3.84,""total_comisiones"":8.09,""descuento_pago_transferencia_pct"":6.12,""iva_venta_desglosar"":9.12,""precio_venta_sin_iva"":57,""ganancia_real"":23,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0019,Manzana Prensada con chamoy 500gr,59,29,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":35,""iva_compra"":5.6,""porcentaje_a_ganar"":45,""utilidad"":15.75,""openpay_comision"":3.52,""openpay_iva"":0.56,""comision_tienda_nube"":3.7,""total_comisiones"":7.77,""descuento_pago_transferencia_pct"":6.64,""iva_venta_desglosar"":8.07,""precio_venta_sin_iva"":50,""ganancia_real"":21,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0020,Pera Prensada con chamoy de 500 gr,157,84,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0014,PERA PRENSADA CON CHAMOY DE 150GR BOLSA,59,29,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0014,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0014"",""precio_compra_con_iva"":35,""iva_compra"":5.6,""porcentaje_a_ganar"":45,""utilidad"":15.75,""openpay_comision"":3.52,""openpay_iva"":0.56,""comision_tienda_nube"":3.7,""total_comisiones"":7.77,""descuento_pago_transferencia_pct"":6.64,""iva_venta_desglosar"":8.07,""precio_venta_sin_iva"":50,""ganancia_real"":21,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
